,sbd,toan,van,ngoaiNgu,vatLy,hoaHoc,sinhHoc,diemTBTuNhien,lichSu,diaLy,gdcd,diemTBXaHoi
0,15000001,7.40,8.50,8.80,,,,,7.25,6.50,8.50,7.42
0,15000002,8.20,6.75,5.00,9.00,7.25,5.75,7.33,,,,
0,15000003,7.20,7.00,8.20,,,,,7.00,5.00,6.75,6.25
0,15000004,7.80,6.75,8.40,6.75,3.75,4.50,5.00,,,,
0,15000005,8.00,7.50,8.20,7.25,4.00,6.25,5.83,,,,
0,15000006,7.40,6.00,8.80,8.00,4.00,7.50,6.50,,,,
0,15000007,8.60,7.25,7.80,9.00,9.00,7.00,8.33,,,,
0,15000008,8.00,6.25,8.40,5.25,9.50,5.00,6.58,,,,
0,15000009,7.00,7.50,8.20,5.00,8.50,6.50,6.67,,,,
0,15000010,8.40,8.00,8.40,,,,,5.50,7.25,8.50,7.08
0,15000011,9.40,7.25,8.00,6.75,7.00,7.50,7.08,,,,
0,15000012,7.00,8.00,8.60,,,,,6.75,6.50,8.75,7.33
0,15000013,9.00,6.25,8.40,9.50,9.50,5.00,8.00,,,,
0,15000014,7.60,8.50,9.00,,,,,8.25,6.00,8.00,7.42
0,15000015,7.80,7.25,8.20,7.75,6.00,4.75,6.17,,,,
0,15000016,8.20,9.50,9.60,,,,,6.25,7.25,9.00,7.50
0,15000017,8.20,7.50,9.40,,,,,7.00,7.50,9.25,7.92
0,15000018,7.40,6.00,8.00,5.25,7.00,8.50,6.92,,,,
0,15000019,7.60,8.75,8.80,,,,,3.75,7.25,8.50,6.50
0,15000020,6.40,6.50,,,,,,5.50,6.25,7.50,6.42
0,15000021,7.60,8.00,7.00,,,,,4.25,4.00,8.50,5.58
0,15000022,8.20,8.75,9.40,,,,,6.75,6.00,8.50,7.08
0,15000023,8.00,7.75,9.20,,,,,5.75,5.25,8.50,6.50
0,15000024,8.60,7.00,8.00,7.75,5.00,8.00,6.92,,,,
0,15000025,8.60,7.25,9.40,5.00,8.75,5.50,6.42,,,,
0,15000026,6.60,7.75,5.60,,,,,9.25,7.00,9.25,8.50
0,15000027,6.80,8.75,4.60,,,,,8.75,8.75,8.25,8.58
0,15000028,7.80,7.00,5.20,5.75,9.00,8.25,7.67,,,,
0,15000029,9.00,7.25,6.00,8.75,7.75,6.25,7.58,,,,
0,15000030,7.60,7.25,8.20,5.50,7.00,6.25,6.25,,,,
0,15000031,7.00,9.00,8.20,,,,,10.00,9.25,9.75,9.67
0,15000032,,,,,,,,,,,
0,15000033,8.00,7.25,9.00,9.25,6.25,5.75,7.08,,,,
0,15000034,4.20,8.50,3.00,,,,,9.25,8.75,7.00,8.33
0,15000035,4.20,8.75,7.60,,,,,7.75,6.75,8.50,7.67
0,15000036,7.80,6.50,8.40,7.75,3.00,5.75,5.50,,,,
0,15000037,4.40,8.25,5.20,,,,,9.00,7.75,9.00,8.58
0,15000038,8.20,7.00,8.40,8.25,6.75,6.25,7.08,,,,
0,15000039,8.00,6.50,9.20,7.25,6.25,6.50,6.67,,,,
0,15000040,5.20,7.75,3.20,,,,,9.25,7.25,9.50,8.67
0,15000041,6.00,9.25,7.80,,,,,6.50,6.25,7.25,6.67
0,15000042,8.00,7.75,5.20,5.50,9.25,9.75,8.17,,,,
0,15000043,8.40,8.75,9.20,,,,,8.00,5.50,9.00,7.50
0,15000044,7.00,7.00,8.40,,,,,3.50,5.75,6.75,5.33
0,15000045,7.40,7.50,9.00,5.75,5.75,7.50,6.33,,,,
0,15000046,8.20,7.50,9.60,7.50,5.75,5.25,6.17,,,,
0,15000047,8.00,6.00,8.80,6.25,2.75,6.50,5.17,,,,
0,15000048,7.00,7.50,5.60,,,,,6.50,7.75,9.25,7.83
0,15000049,8.00,7.00,9.60,,,,,8.25,8.25,9.00,8.50
0,15000050,7.40,7.75,9.00,7.50,4.75,5.25,5.83,,,,
0,15000051,8.20,7.25,5.40,7.25,9.00,9.00,8.42,,,,
0,15000052,8.00,7.00,7.00,4.75,9.50,9.25,7.83,,,,
0,15000053,5.00,9.25,6.40,,,,,9.00,8.50,8.75,8.75
0,15000054,8.80,6.50,8.60,7.00,5.75,3.50,5.42,,,,
0,15000055,8.60,5.75,9.20,7.75,6.25,7.75,7.25,,,,
0,15000056,7.60,7.00,8.80,,,,,5.75,4.50,7.25,5.83
0,15000057,7.60,8.75,8.40,,,,,6.00,5.25,7.75,6.33
0,15000058,8.00,7.00,7.60,7.75,4.50,4.75,5.67,,,,
0,15000059,9.20,7.50,8.80,9.00,6.50,6.75,7.42,,,,
0,15000060,8.20,7.25,7.40,3.50,9.00,8.75,7.08,,,,
0,15000061,8.80,9.00,8.60,5.75,5.00,5.25,5.33,,,,
0,15000062,8.20,6.75,8.60,7.50,5.75,6.00,6.42,,,,
0,15000063,8.20,8.25,9.20,,,,,7.50,8.00,9.25,8.25
0,15000064,8.00,6.00,8.20,8.50,7.75,7.00,7.75,,,,
0,15000065,8.00,6.50,4.80,6.00,9.00,7.00,7.33,,,,
0,15000066,7.60,7.75,7.60,,,,,5.75,8.25,7.25,7.08
0,15000067,8.20,6.75,3.60,3.50,8.25,8.25,6.67,,,,
0,15000068,7.20,5.00,7.20,3.50,6.75,4.00,4.75,,,,
0,15000069,4.40,8.50,8.80,,,,,6.00,9.75,9.50,8.42
0,15000070,7.40,5.25,7.40,5.50,7.50,4.50,5.83,,,,
0,15000071,8.00,6.75,8.60,5.00,9.25,7.75,7.33,,,,
0,15000072,8.20,9.25,8.80,,,,,8.25,8.00,9.75,8.67
0,15000073,7.60,7.00,9.20,,,,,8.25,7.25,8.25,7.92
0,15000074,7.60,7.50,6.20,3.75,8.00,8.50,6.75,,,,
0,15000075,7.80,6.00,9.20,3.50,8.75,9.25,7.17,,,,
0,15000076,8.00,6.00,8.80,8.25,6.50,7.50,7.42,,,,
0,15000077,8.00,4.50,5.20,6.75,3.75,6.75,5.75,,,,
0,15000078,7.60,5.75,8.20,5.00,8.75,6.00,6.58,,,,
0,15000079,8.80,6.50,5.80,8.25,8.75,5.75,7.58,,,,
0,15000080,8.20,7.00,8.60,8.25,6.50,4.50,6.42,,,,
0,15000081,7.20,7.50,7.60,,,,,7.00,7.00,8.00,7.33
0,15000082,7.40,7.00,7.40,6.00,8.75,5.00,6.58,,,,
0,15000083,7.40,5.50,7.00,7.75,7.25,6.75,7.25,,,,
0,15000084,7.60,6.25,5.20,5.75,7.75,8.50,7.33,,,,
0,15000085,7.20,7.00,8.60,6.75,5.25,5.75,5.92,,,,
0,15000086,7.00,6.50,8.00,7.25,2.75,5.25,5.08,,,,
0,15000087,7.00,7.25,8.60,,,,,4.50,4.75,8.00,5.75
0,15000088,8.40,6.75,8.60,5.50,8.50,8.50,7.50,,,,
0,15000089,8.00,7.50,8.60,,,,,6.00,6.75,8.50,7.08
0,15000090,8.40,7.00,7.40,5.75,7.00,9.25,7.33,,,,
0,15000091,4.40,7.50,8.80,,,,,8.50,8.50,9.75,8.92
0,15000092,8.20,7.50,5.80,5.50,8.75,9.25,7.83,,,,
0,15000093,7.80,8.75,7.60,3.75,3.50,5.25,4.17,,,,
0,15000094,7.20,6.75,9.20,,,,,7.75,7.50,9.50,8.25
0,15000095,7.00,6.25,8.40,4.25,8.25,7.50,6.67,,,,
0,15000096,7.80,7.50,6.60,3.50,8.25,8.50,6.75,,,,
0,15000097,8.40,9.25,9.40,,,,,6.25,6.50,9.25,7.33
0,15000098,8.20,6.75,8.60,8.75,4.50,5.50,6.25,,,,
0,15000099,8.00,8.50,8.00,8.00,8.00,5.25,7.08,,,,
0,15000100,7.80,6.50,5.20,4.00,8.00,8.50,6.83,,,,
0,15000101,3.40,8.50,8.20,,,,,8.75,7.75,8.00,8.17
0,15000102,8.40,4.25,8.40,7.75,2.75,4.50,5.00,,,,
0,15000103,8.40,5.50,7.80,7.75,5.75,5.50,6.33,,,,
0,15000104,8.40,5.25,5.80,9.00,9.75,4.00,7.58,,,,
0,15000105,7.00,5.00,7.80,3.75,3.00,5.25,4.00,,,,
0,15000106,7.40,7.50,9.00,,,,,6.25,6.75,7.75,6.92
0,15000107,8.60,7.00,9.00,6.25,9.50,9.25,8.33,,,,
0,15000108,7.60,9.00,9.20,,,,,6.50,4.75,8.25,6.50
0,15000109,9.00,8.75,9.40,,,,,8.00,6.25,9.25,7.83
0,15000110,8.40,8.50,9.20,,,,,6.50,6.75,8.25,7.17
0,15000111,8.60,6.25,9.20,8.25,8.25,7.75,8.08,,,,
0,15000112,7.40,7.50,8.80,7.50,8.75,7.00,7.75,,,,
0,15000113,5.60,5.50,8.60,,,,,9.00,7.25,10.00,8.75
0,15000114,7.40,6.00,8.00,8.00,5.75,4.25,6.00,,,,
0,15000115,7.60,8.50,9.20,,,,,7.00,5.25,7.00,6.42
0,15000116,7.80,7.75,7.20,7.50,7.50,5.75,6.92,,,,
0,15000117,7.40,8.75,8.80,,,,,8.25,7.75,9.50,8.50
0,15000118,8.20,8.25,9.60,,,,,6.50,6.25,9.25,7.33
0,15000119,8.40,9.25,9.20,,,,,7.50,6.75,8.75,7.67
0,15000120,6.40,6.75,6.40,4.00,3.75,4.75,4.17,,,,
0,15000121,5.40,8.25,7.40,,,,,7.00,7.25,9.00,7.75
0,15000122,7.20,8.75,9.40,,,,,7.00,5.75,8.50,7.08
0,15000123,7.40,4.75,5.40,4.25,8.25,7.75,6.75,,,,
0,15000124,7.80,4.50,9.00,7.75,3.50,6.25,5.83,,,,
0,15000125,5.40,9.25,8.60,,,,,9.75,9.75,9.00,9.50
0,15000126,7.00,8.25,9.20,,,,,6.50,6.25,8.25,7.00
0,15000127,8.20,8.25,9.40,,,,,8.00,7.25,8.50,7.92
0,15000128,6.80,9.25,5.40,,,,,6.50,6.75,8.00,7.08
0,15000129,6.80,8.25,9.20,,,,,6.50,7.00,8.50,7.33
0,15000130,4.20,8.25,5.40,,,,,7.75,7.75,8.75,8.08
0,15000131,6.00,9.25,7.60,,,,,8.00,8.25,8.50,8.25
0,15000132,8.20,8.25,6.80,5.25,8.00,8.00,7.08,,,,
0,15000133,7.80,7.00,6.60,6.00,8.75,8.00,7.58,,,,
0,15000134,5.00,9.00,5.80,,,,,8.50,9.00,6.75,8.08
0,15000135,8.00,9.50,8.20,,,,,6.50,6.00,9.25,7.25
0,15000136,7.80,6.75,5.60,7.25,8.50,6.75,7.50,,,,
0,15000137,8.00,8.00,8.60,7.75,4.75,4.75,5.75,,,,
0,15000138,8.00,7.75,6.20,,,,,8.75,4.75,5.75,6.42
0,15000139,7.60,5.25,9.20,8.00,4.50,5.75,6.08,,,,
0,15000140,7.40,7.50,8.80,,,,,7.50,7.25,9.75,8.17
0,15000141,6.40,7.00,7.60,5.25,3.75,5.00,4.67,,,,
0,15000142,8.80,8.50,9.20,9.00,6.25,5.75,7.00,,,,
0,15000143,7.40,7.25,9.20,4.75,9.00,7.00,6.92,,,,
0,15000144,8.00,8.25,7.60,7.25,9.00,6.50,7.58,,,,
0,15000145,6.80,8.75,8.20,,,,,7.75,6.25,8.50,7.50
0,15000146,7.60,9.00,8.80,,,,,4.50,6.50,9.00,6.67
0,15000147,8.60,6.50,6.80,8.00,7.75,4.25,6.67,,,,
0,15000148,5.60,8.25,8.00,,,,,4.75,5.00,6.00,5.25
0,15000149,8.40,9.25,8.00,,,,,6.00,6.25,8.25,6.83
0,15000150,,,,,,,,,,,
0,15000151,9.20,7.50,7.00,9.00,8.25,5.75,7.67,,,,
0,15000152,8.00,6.50,10.00,7.75,4.00,5.25,5.67,,,,
0,15000153,8.20,9.00,9.60,,,,,6.50,7.25,8.25,7.33
0,15000154,9.00,7.00,8.20,7.25,7.00,7.00,7.08,,,,
0,15000155,8.00,8.25,6.80,6.50,4.75,7.25,6.17,,,,
0,15000156,7.40,8.75,10.00,,,,,8.00,7.00,9.75,8.25
0,15000157,9.20,7.75,,8.00,7.00,7.00,7.33,,,,
0,15000158,8.00,5.75,9.40,9.00,5.75,3.75,6.17,,,,
0,15000159,7.80,6.25,,,,,,7.25,7.25,9.50,8.00
0,15000160,9.00,6.50,4.20,7.25,5.75,6.75,6.58,,,,
0,15000161,7.80,7.25,9.00,7.00,7.75,7.00,7.25,,,,
0,15000162,8.40,6.00,9.00,8.75,4.00,3.50,5.42,,,,
0,15000163,9.80,6.25,6.00,9.25,9.00,7.75,8.67,,,,
0,15000164,7.20,8.00,9.40,,,,,6.50,7.25,9.00,7.58
0,15000165,8.20,8.25,8.20,,,,,4.00,3.25,6.00,4.42
0,15000166,3.60,7.25,6.20,,,,,8.75,8.75,7.00,8.17
0,15000167,8.40,7.50,9.20,,,,,6.25,6.25,8.75,7.08
0,15000168,,,,,,,,,,,
0,15000169,8.60,7.75,8.80,8.50,2.75,4.25,5.17,,,,
0,15000170,7.00,6.25,8.80,6.25,4.75,6.50,5.83,,,,
0,15000171,7.60,6.25,8.60,,,,,9.00,7.00,8.50,8.17
0,15000172,7.40,8.00,7.60,5.00,5.75,7.00,5.92,,,,
0,15000173,7.80,8.00,8.60,9.00,8.25,7.25,8.17,,,,
0,15000174,7.80,9.00,9.20,,,,,7.00,6.00,9.25,7.42
0,15000175,8.20,7.25,9.20,7.75,5.00,5.75,6.17,,,,
0,15000176,8.40,6.50,5.60,9.00,8.50,6.50,8.00,,,,
0,15000177,7.20,7.75,9.00,,,,,8.25,7.00,8.25,7.83
0,15000178,6.80,5.00,8.20,7.25,3.00,3.25,4.50,,,,
0,15000179,8.20,7.75,8.80,8.25,6.50,9.25,8.00,,,,
0,15000180,8.20,8.50,9.00,,,,,6.00,5.00,9.00,6.67
0,15000181,6.40,8.50,8.80,2.75,4.75,8.25,5.25,,,,
0,15000182,9.20,9.00,8.40,,,,,5.00,9.50,8.25,7.58
0,15000183,6.40,8.50,6.40,,,,,9.50,9.75,9.00,9.42
0,15000184,7.60,8.00,8.20,,,,,7.50,5.75,8.25,7.17
0,15000185,8.80,9.00,10.00,,,,,7.25,6.50,9.00,7.58
0,15000186,6.00,9.00,7.80,,,,,4.25,5.50,7.75,5.83
0,15000187,7.80,8.25,8.00,8.25,3.25,6.00,5.83,,,,
0,15000188,7.80,8.25,9.60,,,,,4.25,6.00,8.75,6.33
0,15000189,8.20,8.00,8.80,,,,,6.25,6.25,9.00,7.17
0,15000190,8.60,3.50,5.20,8.50,8.50,6.25,7.75,,,,
0,15000191,8.20,4.50,9.00,8.00,5.50,6.00,6.50,,,,
0,15000192,8.00,7.25,5.00,7.00,8.75,5.00,6.92,,,,
0,15000193,8.00,6.25,8.40,2.75,8.75,4.50,5.33,,,,
0,15000194,8.20,8.25,8.80,8.50,4.75,7.50,6.92,,,,
0,15000195,7.80,6.50,9.40,7.50,5.50,6.75,6.58,,,,
0,15000196,6.40,8.25,7.60,,,,,3.50,5.50,8.00,5.67
0,15000197,7.20,8.00,8.00,4.75,8.25,7.25,6.75,,,,
0,15000198,8.00,9.25,9.60,,,,,6.50,4.75,9.00,6.75
0,15000199,8.60,8.00,8.60,8.00,4.75,7.50,6.75,,,,
0,15000200,7.00,9.00,,,,,,3.75,6.25,8.50,6.17
0,15000201,7.60,8.00,8.60,5.00,8.00,6.75,6.58,,,,
0,15000202,9.00,9.00,9.00,,,,,9.75,9.00,8.75,9.17
0,15000203,8.20,8.75,9.00,,,,,5.50,4.75,7.25,5.83
0,15000204,8.20,6.50,8.00,6.75,5.00,4.75,5.50,,,,
0,15000205,7.60,7.00,9.40,6.75,4.75,6.25,5.92,,,,
0,15000206,8.80,7.75,9.20,9.00,6.50,6.25,7.25,,,,
0,15000207,7.80,8.00,7.00,,,,,6.25,5.00,8.00,6.42
0,15000208,8.00,8.67,9.80,,,,,7.00,7.50,9.75,8.08
0,15000209,8.40,7.25,9.20,5.50,9.75,6.50,7.25,,,,
0,15000210,8.40,9.00,9.00,,,,,7.00,6.00,8.00,7.00
0,15000211,7.60,3.75,9.00,7.75,7.50,6.25,7.17,,,,
0,15000212,8.60,7.00,7.80,7.50,5.00,6.50,6.33,,,,
0,15000213,5.40,6.75,5.00,3.75,6.25,7.25,5.75,,,,
